organism,5,4,3,2,1,unique_sequences,amount_of_duplicates
Homo_sapiens,20647,20087,19811,19232,18450,18434,16
Mus_musculus,21756,21748,20465,18959,14464,14448,16
Rattus_norvegicus,22403,22401,16999,11637,8100,8098,2
Danio_rerio,26728,26728,17966,12337,6725,6725,0
Caenorhabditis_elegans,19824,19818,10720,8057,7234,7234,0
Drosophila_Melanogaster,13822,13822,11277,10267,5330,5324,6
Arabidopsis_thaliana,27448,27331,23425,21467,13831,13807,24
Saccharomyces_cerevisiae,6065,6038,5673,5441,5318,5288,30
